1,Tue Jul 05 08:46:17 UTC 2011,true,管理员角色,Fri Aug 12 00:20:59 UTC 2011
2,Thu Jul 07 01:34:09 UTC 2011,true,分理处,Thu Aug 11 13:03:05 UTC 2011
3,Thu Jul 07 01:37:04 UTC 2011,true,分公司,Thu Aug 11 10:15:01 UTC 2011
4,Thu Jul 07 01:39:31 UTC 2011,true,总部发货员,Wed Aug 10 08:54:05 UTC 2011
5,Thu Jul 07 07:27:48 UTC 2011,true,线路管理员,Wed Aug 10 07:37:07 UTC 2011
6,Sat Jul 09 06:39:17 UTC 2011,true,总部电脑员,Wed Aug 10 09:03:35 UTC 2011
7,Mon Jul 25 07:55:44 UTC 2011,true,理赔部,Wed Aug 10 06:54:23 UTC 2011
8,Tue Jul 26 10:01:02 UTC 2011,true,财务主管,Wed Aug 10 07:30:28 UTC 2011
11,Tue Aug 09 07:26:26 UTC 2011,true,中转分理处,Wed Aug 10 07:49:56 UTC 2011
12,Tue Aug 09 07:28:27 UTC 2011,true,中转分公司,Wed Aug 10 06:35:21 UTC 2011
13,Wed Aug 10 07:15:19 UTC 2011,true,财务转账员,Wed Aug 10 07:15:19 UTC 2011
14,Wed Aug 10 07:17:37 UTC 2011,true,财务收款员,Wed Aug 10 07:20:05 UTC 2011
15,Wed Aug 10 07:28:18 UTC 2011,true,客服部,Wed Aug 10 07:28:19 UTC 2011
16,Wed Aug 10 07:30:09 UTC 2011,true,办公室,Wed Aug 10 07:30:09 UTC 2011
17,Wed Aug 10 07:33:25 UTC 2011,true,票据主管,Wed Aug 10 07:33:26 UTC 2011
18,Wed Aug 10 07:40:09 UTC 2011,true,返程部,Wed Aug 10 07:40:10 UTC 2011
19,Wed Aug 10 07:42:12 UTC 2011,true,督查科,Wed Aug 10 07:42:13 UTC 2011
20,Wed Aug 10 07:44:03 UTC 2011,true,分公司经理,Wed Aug 10 07:44:04 UTC 2011
